"Summary","Issue Type","Priority","Labels","Description"
"Unhandled Expired Refresh Token Causes Infinite 401 Loop in Mobile Axios Interceptor","Bug","High","mobile auth","[SEVERITY & IMPACT]
P1 - App Lockout / Crash.
When both the JWT access token and refresh token expire after 30 days of inactivity, the axios response interceptor enters an infinite recursive retry loop attempting to refresh the token, freezing the UI.

[AFFECTED FILES & LINES]
- fitempire-mobile/src/services/api.ts (Lines 40-75)

[TECHNICAL ROOT CAUSE]
The 401 interceptor attempts authApi.refreshToken() when a request fails with 401. If the refresh request itself returns 401, the interceptor re-invokes itself infinitely without clearing storage and redirecting to login.

[STEPS TO REPRODUCE]
1. Set expired access and refresh tokens in AsyncStorage.
2. Launch app -> Interceptor calls refresh endpoint.
3. Refresh endpoint returns 401.
4. Interceptor catches 401 and calls refresh endpoint again in an endless loop.

[EXPECTED BEHAVIOR]
If refresh token request fails with 401, immediately clear tokens from storage, reset auth state, and route to /login.

[ACTUAL BEHAVIOR]
App enters CPU-intensive infinite loop and freezes.

[PROPOSED RESOLUTION]
Track retry count or check config._retry flag; on refresh failure, execute authStorage.clear() and router.replace('/login')."
"Workout Plan PDF Export Lacks Android 13+ Granular Storage Permissions Check","Improvement","Low","mobile permissions","[SEVERITY & IMPACT]
P3 - Android 13+ Compatibility.
On Android 13+ (API level 33), legacy WRITE_EXTERNAL_STORAGE permission is deprecated. Attempting to save generated AI workout routines fails silently without saving the file.

[AFFECTED FILES & LINES]
- fitempire-mobile/src/app/workout-plan.tsx

[TECHNICAL ROOT CAUSE]
App relies on legacy PermissionsAndroid.PERMISSIONS.WRITE_EXTERNAL_STORAGE instead of using expo-sharing or expo-file-system StorageAccessFramework.

[STEPS TO REPRODUCE]
1. Generate workout plan on Android 13 or 14 device.
2. Tap ""Download PDF"".
3. Action fails silently with permission error; PDF is not saved to device Downloads.

[EXPECTED BEHAVIOR]
PDF should be saved to app cache and shared via native Android share sheet using Sharing.shareAsync().

[ACTUAL BEHAVIOR]
Silent download failure on Android 13+.

[PROPOSED RESOLUTION]
Save file to FileSystem.documentDirectory and invoke Sharing.shareAsync(uri)."
"Missing Confirmation Modal Before Permanent Account Deletion Request","Improvement","Low","mobile profile","[SEVERITY & IMPACT]
P3 - Accidental Data Loss Prevention.
Tapping ""Delete Account"" in settings triggers account deletion without a two-step confirmation dialog or password verification, risking irreversible accidental deletions.

[AFFECTED FILES & LINES]
- fitempire-mobile/src/app/settings-security.tsx

[TECHNICAL ROOT CAUSE]
Action invokes userApi.deleteAccount() with a basic one-tap alert without requiring user to type ""DELETE"" or input their account password.

[STEPS TO REPRODUCE]
1. Open Settings -> Security -> Delete Account.
2. Tap button -> Single alert appears; tapping OK immediately wipes user account.

[EXPECTED BEHAVIOR]
Destructive account deletion should require typing user password or typing confirmation keyword ""DELETE"".

[ACTUAL BEHAVIOR]
One-tap deletion without verification.

[PROPOSED RESOLUTION]
Implement AccountDeletionModal requiring password confirmation and warning of forfeiture of unused pass days."
"Referral Share Message Lacks Dynamic Play Store and App Store Download Links","Improvement","Low","mobile referral","[SEVERITY & IMPACT]
P3 - Viral Referral Conversion Rate.
The shared WhatsApp referral text contains only the code and website homepage URL without direct deep links to the Google Play Store and Apple App Store.

[AFFECTED FILES & LINES]
- fitempire-mobile/src/app/refer.tsx (Lines 30-33)

[TECHNICAL ROOT CAUSE]
handleShare formats plain string without UTM parameters or platform-specific store download redirects.

[STEPS TO REPRODUCE]
1. Tap ""Share on WhatsApp"" on Refer screen.
2. Message text: ""Use code EMPIRE-500 at https://fitempire.tech"".
3. Friends clicking the link arrive at a generic landing page without direct app install prompt.

[EXPECTED BEHAVIOR]
Message should include smart branch / Firebase Dynamic Link: ""Download FitEmpire: https://fitempire.page.link/referral?code=..."".

[ACTUAL BEHAVIOR]
Plain website link with no install tracking.

[PROPOSED RESOLUTION]
Construct deep link with referral code parameters and direct store fallback URLs."
"In-App Update Checker Missing to Prompt Users on Critical Security and Bug Fix Releases","Improvement","Low","mobile maintenance","[SEVERITY & IMPACT]
P3 - Version Fragmentation & Supportability.
Users on outdated mobile app versions (e.g. v1.0.0) remain vulnerable to known bugs and cannot access newly launched features without an in-app update prompt.

[AFFECTED FILES & LINES]
- fitempire-mobile/src/app/_layout.tsx

[TECHNICAL ROOT CAUSE]
App lacks an update checker comparing Application.nativeApplicationVersion with backend minimum supported version config.

[STEPS TO REPRODUCE]
1. Launch older app build.
2. App runs normally without checking if backend APIs have deprecated this version.

[EXPECTED BEHAVIOR]
App should query /api/v1/config/app-version on launch; if current version < minRequiredVersion, show blocking update dialog: ""Please update FitEmpire to continue.""

[ACTUAL BEHAVIOR]
Outdated versions run indefinitely until crashing on deprecated APIs.

[PROPOSED RESOLUTION]
Add VersionCheck hook checking remote version config and prompting Google Play Store update."
"[CR] Idle Session Timeout Warning Modal Before Automatic Partner Logout","Task","Low","partner portal","[SEVERITY & IMPACT]
P3 - Front Desk Usability & Security.
Gym reception PCs left unattended should automatically lock after 30 minutes of inactivity, but currently either stay logged in forever or log out abruptly mid-check-in without warning.

[AFFECTED FILES & LINES]
- fitempire-partner/src/context/AuthContext.tsx

[TECHNICAL ROOT CAUSE]
No idle activity tracker listening to DOM mousemove/keypress events to trigger a 60-second logout warning modal.

[STEPS TO REPRODUCE]
1. Leave partner portal open on gym front desk PC with no activity.
2. Portal either remains authenticated overnight or suddenly throws 401 when staff attempts to scan next member.

[EXPECTED BEHAVIOR]
After 25 minutes of inactivity, display modal: ""Your session will expire in 5 minutes due to inactivity. [Stay Logged In]"".

[ACTUAL BEHAVIOR]
No idle tracking or session warning modal.

[PROPOSED RESOLUTION]
Implement an IdleTimerProvider listening for user interactions and warning before JWT token invalidation."
"Camera Stream Hardware Not Released on Route Navigation Away from Partner Scanner Page","Bug","Medium","partner scanner","[SEVERITY & IMPACT]
P2 - Hardware Resource Drain & Privacy Concern.
When front desk staff navigates away from the Scanner page to Attendance or Revenue, the web camera indicator light remains on, continuing to capture frames in the background.

[AFFECTED FILES & LINES]
- fitempire-partner/src/pages/ScannerPage.tsx

[TECHNICAL ROOT CAUSE]
ScannerPage does not call mediaStream.getTracks().forEach(track => track.stop()) in the useEffect unmount cleanup function.

[STEPS TO REPRODUCE]
1. Open Scanner page in partner portal; camera turns on (green laptop LED illuminates).
2. Click ""Attendance"" in sidebar navigation.
3. Observe camera hardware LED remains illuminated; webcam stream is still running in memory.

[EXPECTED BEHAVIOR]
Navigating away from Scanner must immediately stop all video tracks and release the camera device.

[ACTUAL BEHAVIOR]
Camera hardware stays active in background.

[PROPOSED RESOLUTION]
Add cleanup function in useEffect: return () => { if (streamRef.current) streamRef.current.getTracks().forEach(t => t.stop()); }."
"Attendance Table Lacks Virtualized Pagination for High-Volume Gyms Causing Browser Freeze","Improvement","Low","partner attendance","[SEVERITY & IMPACT]
P3 - Front Desk PC Performance.
Flagship gyms with 800+ daily member visits experience severe browser tab lag and freezing when viewing the attendance page because all 800 table rows are rendered simultaneously into the DOM.

[AFFECTED FILES & LINES]
- fitempire-partner/src/pages/AttendancePage.tsx (Lines 140-190)

[TECHNICAL ROOT CAUSE]
records.map(...) renders hundreds of standard HTML <tr> DOM nodes without TanStack Virtual or server-side pagination.

[STEPS TO REPRODUCE]
1. Load attendance page for a gym with 1,000 check-ins today.
2. Browser DOM node count exceeds 15,000 nodes.
3. Typing in search bar suffers 1.5 second input latency.

[EXPECTED BEHAVIOR]
Table should use server-side pagination (25 records per page) or virtual scrolling.

[ACTUAL BEHAVIOR]
All records rendered in one gigantic DOM tree.

[PROPOSED RESOLUTION]
Add pagination controls (< Prev 1 2 3 ... Next >) with 25 records per page."
"[CR] Multi-Language Support (English and Hindi) for Partner Front-Desk Receptionists","Task","Low","partner portal","[SEVERITY & IMPACT]
P3 - Staff Adoption & Operational Ease.
Many gym front-desk staff and trainers in Tier-2 Indian cities prefer Hindi interface labels for daily operations (Check-In, Attendance, Member Pass Status).

[AFFECTED FILES & LINES]
- fitempire-partner/src/App.tsx
- fitempire-partner/src/locales/

[TECHNICAL ROOT CAUSE]
All UI strings in partner portal are hardcoded English without an i18n (react-i18next) localization provider.

[STEPS TO REPRODUCE]
1. Review partner portal pages.
2. All strings are hardcoded in English with no language toggle.

[EXPECTED BEHAVIOR]
Header language switch (EN / HI) allowing receptionists to view portal in Hindi or English.

[ACTUAL BEHAVIOR]
Only English text available.

[PROPOSED RESOLUTION]
Integrate react-i18next with English and Hindi translation dictionaries for core check-in workflows."
"Lack of Audit Log of Staff Member Identity for Manual Attendance Overrides","Bug","Medium","partner attendance","[SEVERITY & IMPACT]
P2 - Partner Internal Fraud & Accountability.
When a receptionist manually checks in a member whose QR failed to scan, the system does not record which staff account performed the manual check-in override, creating internal theft risk.

[AFFECTED FILES & LINES]
- fitempire-partner/src/pages/AttendancePage.tsx
- fitempire-backend/src/main/java/com/fitempire/modules/partner/entity/AttendanceRecord.java

[TECHNICAL ROOT CAUSE]
Manual check-in endpoint accepts member phone number but does not record checked_by_staff_id on the attendance record.

[STEPS TO REPRODUCE]
1. Receptionist performs a manual attendance check-in.
2. Query attendance_records table in database.
3. checked_by column is null or generic SYSTEM string; gym owner cannot trace which staff member authorized entry.

[EXPECTED BEHAVIOR]
Record must log staffId, timestamp, and overrideReason (""QR Camera Glare"", ""Phone Battery Dead"").

[ACTUAL BEHAVIOR]
Manual check-ins lack staff identity attribution.

[PROPOSED RESOLUTION]
Pass authenticated staff user ID in manual check-in request and persist in checked_by_user_id column."
"Gym Photo Gallery Upload Lacks Drag-and-Drop Reordering for Primary Display Picture","Improvement","Low","partner profile","[SEVERITY & IMPACT]
P3 - Partner Usability.
Partners cannot change the primary display picture shown on the mobile explore card without deleting all photos and re-uploading them in exact order.

[AFFECTED FILES & LINES]
- fitempire-partner/src/pages/GymProfilePage.tsx

[TECHNICAL ROOT CAUSE]
Photos are stored as a flat array without a display_order attribute or drag-and-drop sortable list (@hello-pangea/dnd).

[STEPS TO REPRODUCE]
1. Partner uploads 5 gym photos.
2. Photo 4 is the best shot and partner wants it as the main cover picture.
3. No UI handle exists to drag Photo 4 to position 1.

[EXPECTED BEHAVIOR]
Partners can drag and drop photo cards to rearrange showcase order and set cover image.

[ACTUAL BEHAVIOR]
Static upload order locked.

[PROPOSED RESOLUTION]
Implement sortable photo grid with ""Set as Cover"" action button on each photo."
"Partner Member Search Input Does Not Support Partial Phone Number or Member ID","Improvement","Low","partner search","[SEVERITY & IMPACT]
P3 - Front Desk Speed.
When a member arrives without their phone and gives the last 4 digits of their mobile number (e.g. ""7252""), the search returns no results because it requires an exact full 10-digit number match.

[AFFECTED FILES & LINES]
- fitempire-partner/src/pages/AttendancePage.tsx (Lines 6-12)

[TECHNICAL ROOT CAUSE]
Filter logic uses m.phone === searchTerm instead of m.phone.includes(searchTerm) or clean numeric regex matching.

[STEPS TO REPRODUCE]
1. In partner attendance search, type ""7252"".
2. Search table is empty even though member with phone ""+91 98800 72520"" exists.

[EXPECTED BEHAVIOR]
Typing ""7252"" should match all members whose phone numbers or member IDs contain ""7252"".

[ACTUAL BEHAVIOR]
Partial number matching fails.

[PROPOSED RESOLUTION]
Update client search filter: record.phone.replace(/\D/g, '').includes(searchTerm.replace(/\D/g, '')) || record.name.toLowerCase().includes(searchTerm.toLowerCase())."
"Notification Bell Icon in Partner Header Displays Hardcoded Dummy Data","Bug","Medium","partner notifications","[SEVERITY & IMPACT]
P2 - Missing Operational Alerts.
Clicking the notification bell in the partner header displays hardcoded static notifications from 3 months ago instead of real alerts regarding membership renewals, payout disbursements, or system updates.

[AFFECTED FILES & LINES]
- fitempire-partner/src/components/Header.tsx

[TECHNICAL ROOT CAUSE]
Header component contains hardcoded dummy notifications array with no API integration to /api/v1/partner/notifications.

[STEPS TO REPRODUCE]
1. Click notification bell icon in partner portal header.
2. Dropdown shows ""Amit Kumar checked in 2h ago"" (dummy data).
3. Even when new real check-ins occur, the bell count and dropdown never update.

[EXPECTED BEHAVIOR]
Notification dropdown should fetch real partner alerts from backend with ""Mark as Read"" functionality.

[ACTUAL BEHAVIOR]
Static dummy placeholder data.

[PROPOSED RESOLUTION]
Connect Header notification dropdown to partnerApi.getNotifications() with unread badge counter."
"Gym Operating Hours Editor Does Not Support Split-Shift Schedules (Morning and Evening Batches)","Improvement","Low","partner profile","[SEVERITY & IMPACT]
P3 - Indian Gym Operational Reality.
Many gyms in India operate split shifts (e.g. Morning 06:00 AM - 11:00 AM, Closed afternoon, Evening 04:30 PM - 10:00 PM), but portal only allows a single opening and closing time.

[AFFECTED FILES & LINES]
- fitempire-partner/src/pages/GymProfilePage.tsx (Lines 53-54)

[TECHNICAL ROOT CAUSE]
Profile schema only defines openingTime and closingTime strings, omitting support for multiple shift intervals per day.

[STEPS TO REPRODUCE]
1. Gym partner tries to configure operating hours: Morning 6-11 AM, Evening 5-10 PM.
2. Portal UI only provides a single ""Opens At"" and ""Closes At"" input field.

[EXPECTED BEHAVIOR]
Option to add ""Shift 2"" (split-shift) for gyms that close during afternoon hours.

[ACTUAL BEHAVIOR]
Partner forced to set 06:00 AM - 10:00 PM, causing members to arrive when gym is closed in afternoon.

[PROPOSED RESOLUTION]
Expand operating hours schema to support an array of shifts: [{ open: ""06:00"", close: ""11:00"" }, { open: ""16:30"", close: ""22:00"" }]."
"Missing Bulk Check-In Capability for Group Fitness and Corporate Batch Classes","Improvement","Low","partner classes","[SEVERITY & IMPACT]
P3 - Front Desk Efficiency for Group Classes.
When a 30-person Zumba or CrossFit batch arrives, front desk staff must scan all 30 members one by one, creating entrance congestion.

[AFFECTED FILES & LINES]
- fitempire-partner/src/pages/ClassesPage.tsx

[TECHNICAL ROOT CAUSE]
ClassesPage only supports single member attendance toggles without a ""Select All Roster"" -> ""Mark All Present"" batch action.

[STEPS TO REPRODUCE]
1. Open class roster with 25 booked members.
2. Staff must click 25 individual checkboxes one by one to mark attendance.

[EXPECTED BEHAVIOR]
""Select All"" checkbox allowing 1-click batch attendance confirmation for the entire registered class.

[ACTUAL BEHAVIOR]
Tedious single-click entry only.

[PROPOSED RESOLUTION]
Add ""Mark All Present"" button executing partnerApi.bulkAttendance(classId, memberIds)."
"[CR] Reception Desk Printable QR Standee Generator (PDF Download)","Task","Low","partner portal","[SEVERITY & IMPACT]
P3 - Partner Onboarding & Turnstile Convenience.
New gym partners lack an easy way to print high-resolution branded FitEmpire QR code counter standees for their front desk reception.

[AFFECTED FILES & LINES]
- fitempire-partner/src/pages/ScannerPage.tsx
- fitempire-partner/src/pages/GymProfilePage.tsx

[TECHNICAL ROOT CAUSE]
No client-side or backend PDF standee generation template incorporating gym name, branch QR code, and FitEmpire branding.

[STEPS TO REPRODUCE]
1. Partner signs up and wants to print a table standee for front desk.
2. Partner portal provides no ""Download Print Standee PDF"" button.

[EXPECTED BEHAVIOR]
A ""Download Counter Standee PDF"" button generating a print-ready A4/A5 PDF with vector QR code and ""Scan Here with FitEmpire App"" instructions.

[ACTUAL BEHAVIOR]
Feature absent.

[PROPOSED RESOLUTION]
Add printable PDF generation using jsPDF / pdfmake with high-res QR code and FitEmpire counter branding."
"Partner Portal Lacks Role-Based Access Control (Owner vs Front Desk Staff vs Trainer)","Improvement","Low","partner security","[SEVERITY & IMPACT]
P3 - Internal Security & Sensitive Financial Data Protection.
Front desk receptionists and fitness trainers use the same partner login credentials as the gym owner, exposing bank details, revenue settlements, and tax IDs to junior staff.

[AFFECTED FILES & LINES]
- fitempire-partner/src/context/AuthContext.tsx
- fitempire-partner/src/pages/RevenuePage.tsx

[TECHNICAL ROOT CAUSE]
All partner accounts share identical permissions with no sub-user role segregation (PARTNER_OWNER, PARTNER_DESK, PARTNER_TRAINER).

[STEPS TO REPRODUCE]
1. Gym owner creates login for front desk receptionist to scan members.
2. Receptionist logs in and can click ""Revenue & Payouts"" to view all monthly earnings and bank account details.

[EXPECTED BEHAVIOR]
Front desk staff accounts should only have access to Scanner and Attendance pages; Revenue should be restricted to PARTNER_OWNER.

[ACTUAL BEHAVIOR]
All screens accessible to anyone with partner credentials.

[PROPOSED RESOLUTION]
Implement role attribute on partner user and hide Revenue/Settlement routes for staff roles."
"Attendance CSV Export Lacks Date Range Picker Exporting Entire Historical Database","Improvement","Low","partner attendance","[SEVERITY & IMPACT]
P3 - Export Usability & Server Load.
Clicking ""Export CSV"" on the attendance page downloads all historical check-ins from day one without allowing the partner to select ""Today"", ""This Week"", or ""Custom Month"".

[AFFECTED FILES & LINES]
- fitempire-partner/src/pages/AttendancePage.tsx (Line 2)

[TECHNICAL ROOT CAUSE]
Export action does not accept startDate and endDate query filters, pulling unfiltered table contents.

[STEPS TO REPRODUCE]
1. Click ""Export CSV"" on Attendance page.
2. CSV immediately generates for all 2 years of gym check-in records.

[EXPECTED BEHAVIOR]
Export dialog prompting: ""Select Date Range: [Today | This Month | Custom Range] -> Export"".

[ACTUAL BEHAVIOR]
Full unfiltered database dumped into CSV.

[PROPOSED RESOLUTION]
Add DateRangePicker component to Export button and pass start/end dates to export query."
"Attendance CSV Export Lacks UTF-8 BOM Causing Garbled Hindi Names in Microsoft Excel","Bug","Medium","partner attendance","[SEVERITY & IMPACT]
P2 - Data Export Quality on Windows.
When partners open exported attendance CSVs in Microsoft Excel on Windows, non-ASCII characters and Hindi member names display as corrupted mojibake symbols (e.g. à¤°à¤¾à¤¹à¥à¤²).

[AFFECTED FILES & LINES]
- fitempire-partner/src/pages/AttendancePage.tsx

[TECHNICAL ROOT CAUSE]
Blob is created without UTF-8 Byte Order Mark: new Blob([csv], { type: 'text/csv' }) instead of new Blob(['\uFEFF' + csv], { type: 'text/csv;charset=utf-8;' }).

[STEPS TO REPRODUCE]
1. Export attendance containing Indian names or Rupee currency symbol (₹).
2. Double-click CSV to open in Microsoft Excel on Windows.
3. Currency symbols and names appear garbled (â‚¹).

[EXPECTED BEHAVIOR]
Excel should render UTF-8 characters and currency symbols cleanly.

[ACTUAL BEHAVIOR]
Garbled characters due to missing byte order mark.

[PROPOSED RESOLUTION]
Prepend '\uFEFF' to CSV Blob content before download."
"Partner Dashboard Revenue Cards Lack Custom Date Comparison with Previous Period","Improvement","Low","partner analytics","[SEVERITY & IMPACT]
P3 - Business Intelligence Enhancement.
Partners cannot see whether their gym visit volume is growing or declining compared to the previous month or previous week.

[AFFECTED FILES & LINES]
- fitempire-partner/src/pages/DashboardPage.tsx

[TECHNICAL ROOT CAUSE]
Dashboard metrics show only lifetime or current month static numbers without percentage delta comparison badges (+14% vs last month).

[STEPS TO REPRODUCE]
1. Open Partner Dashboard.
2. Stat card displays ""Total Check-ins: 342"" with no indication of whether this is up or down compared to last month.

[EXPECTED BEHAVIOR]
Stat card displays ""+12.4% vs last month"" with green/red trend indicator.

[ACTUAL BEHAVIOR]
Static counters with no comparison context.

[PROPOSED RESOLUTION]
Compute period-over-period percentage deltas on backend dashboard analytics endpoint."
"Class Capacity Counter Does Not Account for Simultaneous Active Check-Ins","Bug","Medium","partner classes","[SEVERITY & IMPACT]
P2 - Studio Overcrowding & Safety Hazard.
If a class capacity is 20, the system permits walk-in partner scan entries even after 20 pre-booked members have arrived, overcrowding spinning and yoga studios.

[AFFECTED FILES & LINES]
- fitempire-partner/src/pages/ScannerPage.tsx
- fitempire-backend/src/main/java/com/fitempire/modules/partner/service/AttendanceService.java

[TECHNICAL ROOT CAUSE]
Scanner verification checks pass validity but does not query active batch capacity if the member is attending a scheduled group class.

[STEPS TO REPRODUCE]
1. Yoga studio capacity set to 15.
2. 15 pre-booked members check in.
3. 16th member scans pass at entrance -> Scan succeeds; studio exceeds safety fire capacity.

[EXPECTED BEHAVIOR]
System should warn: ""Yoga Studio is at maximum capacity (15/15). Assign to Gym Floor workout instead?""

[ACTUAL BEHAVIOR]
Unrestricted entry permitted regardless of class capacity limits.

[PROPOSED RESOLUTION]
Add studio capacity check in AttendanceService when check-in is linked to a class batch."
"Partner Password Reset Link Lacks Visual Expiration Timer Creating Confusion on Expired Links","Improvement","Low","partner auth","[SEVERITY & IMPACT]
P3 - User Experience on Password Recovery.
When a gym partner clicks a password reset link received by email, the page does not indicate how many minutes remain before the token expires, resulting in confusing sudden rejections.

[AFFECTED FILES & LINES]
- fitempire-partner/src/pages/ResetPasswordPage.tsx

[TECHNICAL ROOT CAUSE]
Reset password form does not calculate remaining seconds from token expiry payload to display a countdown bar.

[STEPS TO REPRODUCE]
1. Request password reset email (15-minute validity).
2. Open link at minute 14.
3. Type new password slowly; submit at minute 16.
4. Error appears: ""Token invalid"", with no prior warning that token was about to expire.

[EXPECTED BEHAVIOR]
Display banner: ""This reset link is valid for 12 more minutes.""

[ACTUAL BEHAVIOR]
No expiration feedback provided.

[PROPOSED RESOLUTION]
Parse token expiration time and render a countdown timer warning user if under 2 minutes remain."
"Revenue Settlement History Table Lacks Downloadable PDF Invoice / Statement for Tax Records","Improvement","Low","partner billing","[SEVERITY & IMPACT]
P3 - GST Accounting & Legal Compliance.
Gym accountants need formal monthly tax invoices / credit notes with FitEmpire GSTIN and partner GSTIN for input tax credit (ITC) claims, but portal only provides on-screen HTML numbers.

[AFFECTED FILES & LINES]
- fitempire-partner/src/pages/RevenuePage.tsx

[TECHNICAL ROOT CAUSE]
No PDF invoice generation endpoint or client-side invoice rendering component exists in the partner billing module.

[STEPS TO REPRODUCE]
1. Open Revenue & Payouts page.
2. View completed payout of ₹45,000 for August 2026.
3. No button exists to download official GST Invoice / Tax Payout Statement PDF.

[EXPECTED BEHAVIOR]
""Download Tax Invoice"" button on every payout row generating official GST-compliant PDF invoice.

[ACTUAL BEHAVIOR]
Only basic HTML table rows visible.

[PROPOSED RESOLUTION]
Add backend /api/v1/partner/settlements/{id}/invoice endpoint generating PDF invoice."
"Gym Profile Amenity Selection Lacks Informational Tooltips Explaining Verification Requirements","Improvement","Low","partner profile","[SEVERITY & IMPACT]
P3 - Profile Quality & Verification Accuracy.
Partners select ""Swimming Pool"" or ""Sauna"" thinking it is a wishlist, unaware that FitEmpire quality team requires photo proof for premium amenity badges.

[AFFECTED FILES & LINES]
- fitempire-partner/src/pages/GymProfilePage.tsx (Lines 9-15)

[TECHNICAL ROOT CAUSE]
Amenity badges render as basic checkboxes without hover tooltips explaining that premium amenities require photo upload before badge activation.

[STEPS TO REPRODUCE]
1. Partner toggles ""Swimming Pool"" on Gym Profile page.
2. Badge appears on profile, but later customer complains gym does not have a pool.

[EXPECTED BEHAVIOR]
Hover tooltip explaining: ""Toggling premium amenities (Pool, Sauna) requires at least one verified facility photo.""

[ACTUAL BEHAVIOR]
No tooltip or explanation provided.

[PROPOSED RESOLUTION]
Add tooltip icons with explanatory text next to all premium amenity toggles."
"Partner Portal Theme Locked to Dark Mode Without Light Mode Option for Bright Gym Desks","Improvement","Low","partner ui","[SEVERITY & IMPACT]
P3 - Accessibility & High-Glare Environments.
Gym front desks positioned near glass windows with direct sunlight suffer extreme screen glare on the dark #070B14 interface, making it difficult for staff to read member names.

[AFFECTED FILES & LINES]
- fitempire-partner/src/index.css
- fitempire-partner/src/components/Sidebar.tsx

[TECHNICAL ROOT CAUSE]
CSS variables are hardcoded to dark hex colors (#070B14, #111B30) without CSS theme classes (.light-mode) or a theme toggle button.

[STEPS TO REPRODUCE]
1. Open partner portal on laptop near bright window in sunny gym lobby.
2. High screen reflection on dark background impedes reading member names and phone numbers.

[EXPECTED BEHAVIOR]
Theme toggle icon in sidebar switching between ""Dark Mode"" and high-contrast ""Daylight Mode"".

[ACTUAL BEHAVIOR]
Portal locked exclusively to dark theme.

[PROPOSED RESOLUTION]
Refactor colors to CSS variables and provide a daylight high-contrast light theme toggle."
"Admin User Management Table Lacks Bulk Operations for Account Suspension and Notifications","Improvement","Low","admin console","[SEVERITY & IMPACT]
P3 - Admin Operational Productivity.
When administrators need to suspend 20 fraudulent accounts or broadcast an announcement to 50 users, they must click into each account individually.

[AFFECTED FILES & LINES]
- fitempire-web/src/admin/pages/UsersPage.tsx

[TECHNICAL ROOT CAUSE]
Users table lacks row selection checkboxes and a floating Bulk Actions toolbar (Bulk Suspend, Bulk Email, Bulk Tag).

[STEPS TO REPRODUCE]
1. Open Admin Console -> Users.
2. Select multiple users -> No checkboxes exist; actions are restricted to individual row action menus.

[EXPECTED BEHAVIOR]
Select-all checkbox with action toolbar: ""15 users selected -> [Suspend] [Send Email] [Add Tag]"".

[ACTUAL BEHAVIOR]
Single-user operations only.

[PROPOSED RESOLUTION]
Add row selection state and BulkActionToolbar executing /api/v1/admin/users/bulk."
"Admin Gym Approval Queue Lacks In-App PDF Preview of Commercial Licenses and Fire Certificates","Improvement","Low","admin verification","[SEVERITY & IMPACT]
P3 - Compliance Verification Speed.
Verifying documents for a new partner gym requires admin to download PDF files to local disk, review them in Adobe Reader, and return to browser, slowing verification turnaround.

[AFFECTED FILES & LINES]
- fitempire-web/src/admin/pages/GymsPage.tsx

[TECHNICAL ROOT CAUSE]
Document URLs render as raw download links without an inline modal PDF viewer (react-pdf or iframe previewer).

[STEPS TO REPRODUCE]
1. Admin opens pending gym application.
2. Click ""Trade License"" link -> File downloads to Downloads folder instead of opening modal preview.

[EXPECTED BEHAVIOR]
Clicking document opens an in-browser preview modal with zoom and rotate controls.

[ACTUAL BEHAVIOR]
File downloads to disk.

[PROPOSED RESOLUTION]
Embed DocumentPreviewModal using an iframe or PDF.js viewer."
"Landing Page City Selector Popup Does Not Remember User City in LocalStorage Across Sessions","Bug","Medium","frontend web","[SEVERITY & IMPACT]
P2 - Landing Page Bounce Rate & Friction.
A user in Bengaluru selects ""Bengaluru"" in the city selector popup. When returning the next day or opening a new tab, the popup prompts them to pick their city again, defaulting back to Delhi NCR.

[AFFECTED FILES & LINES]
- fitempire-web/src/components/Navbar.tsx
- fitempire-web/src/components/CitySelectModal.tsx

[TECHNICAL ROOT CAUSE]
Selected city is stored solely in local React state without reading from or writing to localStorage.getItem('fitempire_selected_city').

[STEPS TO REPRODUCE]
1. Visit https://fitempire.tech.
2. Select ""Bengaluru"" from city selector.
3. Close tab and reopen website in a new tab.
4. City reverts to ""Delhi NCR"" and city popup reappears.

[EXPECTED BEHAVIOR]
Selected city should persist in localStorage and auto-populate across all browser sessions.

[ACTUAL BEHAVIOR]
City selection lost on tab close.

[PROPOSED RESOLUTION]
Save selected city to localStorage on change and initialize state from localStorage."
"Corporate Wellness Inquiry Form Lacks Anti-Spam Honeypot or reCAPTCHA Protection","Improvement","Low","frontend security","[SEVERITY & IMPACT]
P3 - Lead Pipeline Quality & Spam Prevention.
The corporate inquiry form on the landing page is targeted by automated spam bots submitting hundreds of fake sales leads with cryptocurrency spam links.

[AFFECTED FILES & LINES]
- fitempire-web/src/components/CorporateSection.tsx

[TECHNICAL ROOT CAUSE]
Form submits directly to backend lead API without a hidden honeypot input field or Cloudflare Turnstile / Google reCAPTCHA v3 verification.

[STEPS TO REPRODUCE]
1. Send automated POST request with curl to /api/v1/leads/corporate.
2. Lead is created in database without human verification.

[EXPECTED BEHAVIOR]
Automated submissions should be blocked by a silent honeypot field or Cloudflare Turnstile token.

[ACTUAL BEHAVIOR]
Spam submissions pass freely.

[PROPOSED RESOLUTION]
Add a hidden honeypot input field (display: none) that rejects submission if filled by bots, or integrate Cloudflare Turnstile."
